address,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,zones
Rua Romualdo Lopes Cançado ,2.0,390000.0,3.0,90.0,Castelo,Belo Horizonte,-19.892247,-43.9962789,Pampulha
"Rua Líbero Leone, 130 ",2.0,515000.0,3.0,80.0,Buritis,Belo Horizonte,-19.9743233,-43.963421,Oeste
Rua Bolivar Mineiro ,2.0,500000.0,3.0,89.0,Dona Clara,Belo Horizonte,-19.8597149,-43.9436186,Pampulha
Rua Judith Binatti ,2.0,620000.0,3.0,110.0,Liberdade,Belo Horizonte,-19.8621312,-43.9548977,Pampulha
Rua dos Timbiras ,1.0,500000.0,3.0,83.0,Lourdes,Belo Horizonte,-19.9302789,-43.9251047,Centro-Sul
"Rua Florália, 293 ",3.0,2025102.0,3.0,157.0,Anchieta,Belo Horizonte,-19.9467286,-43.9295572,Centro-Sul
Rua Santos Barreto ,1.0,900000.0,3.0,151.0,Santo Agostinho,Belo Horizonte,-19.9329372,-43.9503007,Centro-Sul
"Rua Professor José Renault, 277 ",1.0,890000.0,3.0,130.0,São Bento,Belo Horizonte,-19.954668,-43.9522231,Centro-Sul
Rua dos Guajajaras ,0.0,220000.0,1.0,25.0,Centro,Belo Horizonte,-19.9261909,-43.93638,Centro-Sul
Rua Paula Barros ,2.0,350000.0,2.0,123.0,Nazaré,Belo Horizonte,-19.847754,-43.8977808,Nordeste
Rua Espírito Santo ,3.0,3180000.0,4.0,230.0,Lourdes,Belo Horizonte,-18.8647762,-41.1217768,Centro-Sul
Rua Marquês de Maricá ,2.0,1170000.0,3.0,140.0,Santo Antônio,Belo Horizonte,-19.9382062,-43.9465584,Centro-Sul
Rua Malaquito ,1.0,450000.0,3.0,150.0,Santa Efigênia,Belo Horizonte,-19.9248262,-43.9054431,Leste
Rua Dona Cecília ,28.0,1690000.0,4.0,287.0,Serra,Belo Horizonte,-19.9377676,-43.922114,Centro-Sul
Rua Muzambinho ,0.0,1200000.0,3.0,150.0,Cruzeiro,Belo Horizonte,-19.94661,-43.923608,Centro-Sul
Rua Bueno Brandão ,3.0,1100000.0,4.0,413.0,Floresta,Belo Horizonte,-19.9155973,-43.9265144,Leste
"Rua Joaquim Linhares, 0 ",4.0,2100000.0,4.0,140.0,Anchieta,Belo Horizonte,-19.9500206,-43.9260666,Centro-Sul
Rua do Ouro ,2.0,590000.0,2.0,58.0,Serra,Belo Horizonte,-19.947074,-43.9186245,Centro-Sul
Rua Professor Moraes ,1.0,430000.0,1.0,29.0,Savassi,Belo Horizonte,-19.8624858,-43.9614177,Centro-Sul
Rua Geraldo Magalhães Mascarenhas ,4.0,1900000.0,4.0,338.0,Belvedere,Belo Horizonte,-19.966408,-43.939017,Centro-Sul
Rua Ludgero Dolabela ,3.0,1230000.0,4.0,145.0,Gutierrez,Belo Horizonte,-19.9338731,-43.9606057,Oeste
"Rua Pedra Bonita, 404 ",3.0,1650000.0,4.0,220.0,Prado,Belo Horizonte,-19.9323528,-43.9645172,Oeste
Rua Bernardo Guimarães ,2.0,650000.0,3.0,100.0,Savassi,Belo Horizonte,-19.927333,-43.9477878,Centro-Sul
Rua Professor Hermínio Guerra ,3.0,1250000.0,5.0,400.0,Itapoã,Belo Horizonte,-19.8392787,-43.9644609,Pampulha
Rua Ourissanga ,1.0,670000.0,3.0,92.0,Floresta,Belo Horizonte,-19.9198542,-43.9266658,Leste
Rua Santo Agostinho ,2.0,1700000.0,5.0,326.0,Sagrada Família,Belo Horizonte,-19.8972488,-43.9189199,Leste
"Rua dos Guajajaras, 556 ",2.0,680000.0,2.0,70.0,Centro,Belo Horizonte,-19.9261909,-43.93638,Centro-Sul
"Rua Henrique Furtado Portugal, 63 ",1.0,250000.0,3.0,63.0,Buritis,Belo Horizonte,-19.9722454,-43.9667316,Oeste
Rua Professor Arduino Bolivar ,2.0,650000.0,2.0,55.0,Santo Antônio,Belo Horizonte,-19.9438548,-43.9459696,Centro-Sul
Avenida Augusto de Lima ,0.0,230000.0,2.0,80.0,Centro,Belo Horizonte,-19.9230616,-43.9441556,Centro-Sul
Rua Curitiba ,2.0,1350000.0,4.0,170.0,Lourdes,Belo Horizonte,-19.9122312,-43.9396634,Centro-Sul
"Rua Ouro Preto, 1143 ",2.0,1200000.0,3.0,106.0,Santo Agostinho,Belo Horizonte,-19.9190479,-43.949625,Centro-Sul
Rua dos Pardais ,2.0,478000.0,3.0,90.0,Vila Clóris,Belo Horizonte,-19.8247394,-43.9509916,Norte
Rua Sergipe ,0.0,3500000.0,5.0,420.0,Savassi,Belo Horizonte,-19.9276923,-43.9354354,Centro-Sul
Rua Jornalista Moacyr Andrade ,5.0,2890000.0,4.0,454.0,São Bento,Belo Horizonte,-19.9542221,-43.9553227,Centro-Sul
Rua Barão de Jacuí ,2.0,330000.0,2.0,77.0,Planalto,Belo Horizonte,-19.8339615,-43.9448554,Norte
Rua Geraldo Faria de Souza ,1.0,900000.0,3.0,108.0,Sagrada Família,Belo Horizonte,-19.8997683,-43.9248558,Leste
"Rua Engenheiro Alberto Pontes, 460 ",4.0,1200000.0,4.0,228.0,Buritis,Belo Horizonte,-19.9689271,-43.9668895,Oeste
"Rua Engenheiro Alberto Pontes, 92 ",4.0,1200000.0,4.0,180.0,Buritis,Belo Horizonte,-19.9689271,-43.9668895,Oeste
Avenida Luíz Paulo Franco ,2.0,685000.0,1.0,86.0,Belvedere,Belo Horizonte,-19.9747374,-43.9422752,Centro-Sul
Rua São Paulo ,2.0,1990000.0,4.0,220.0,Lourdes,Belo Horizonte,-19.914782,-43.9388011,Centro-Sul
Rua Pinhal ,1.0,220000.0,2.0,72.0,Piratininga Venda Nova,Belo Horizonte,-19.8059956,-43.9857692,Venda Nova
Rua Aiuruoca ,1.0,295000.0,3.0,65.0,Fernão Dias,Belo Horizonte,-19.8705301,-43.9225586,Nordeste
Rua Rio de Janeiro ,1.0,750000.0,2.0,85.0,Lourdes,Belo Horizonte,-19.9150685,-43.9375314,Centro-Sul
Rua Barão de Cocais ,2.0,750000.0,4.0,160.0,Sagrada Família,Belo Horizonte,-19.9093193,-43.9220712,Leste
Rua Gonçalves Dias ,0.0,170000.0,1.0,19.0,Savassi,Belo Horizonte,-19.9311846,-43.9376407,Centro-Sul
Rua Belmiro Braga ,2.0,620000.0,3.0,83.0,Caiçaras,Belo Horizonte,-19.9063051,-43.9663708,Noroeste
Rua Osório de Morais ,2.0,450000.0,3.0,120.0,Ouro Preto,Belo Horizonte,-19.8815498,-43.9829753,Pampulha
"Rua Capitão Leonídio Soares, 0 ",1.0,298000.0,3.0,56.0,Planalto,Belo Horizonte,-19.8337566,-43.9431489,Norte
"Rua Tomaz Gonzaga, 286 ",3.0,1987000.0,4.0,258.0,Lourdes,Belo Horizonte,-19.9329322,-43.9411068,Centro-Sul
